stid,name,lat,lon,date_time,wind_speed,wind_direction
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T00:00:00Z,2.68,219.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T00:10:00Z,0.895,225.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T00:20:00Z,1.343,206.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T00:30:00Z,2.233,184.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T00:40:00Z,1.79,228.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T00:50:00Z,1.79,192.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T01:00:00Z,2.233,209.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T01:10:00Z,2.233,196.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T01:20:00Z,4.023,244.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T01:30:00Z,2.233,221.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T01:40:00Z,1.79,213.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T01:50:00Z,1.79,192.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T02:00:00Z,0.895,191.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T02:10:00Z,2.233,186.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T02:20:00Z,6.703,220.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T02:30:00Z,4.471,223.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T02:40:00Z,1.343,227.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T02:50:00Z,3.128,230.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T04:00:00Z,6.703,198.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T04:10:00Z,4.471,190.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T04:20:00Z,4.023,184.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T04:30:00Z,2.233,176.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T04:40:00Z,4.918,255.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T04:50:00Z,3.575,178.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T05:00:00Z,4.471,184.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T05:10:00Z,4.471,198.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T05:20:00Z,4.918,229.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T05:30:00Z,3.575,187.0
